city,state,zip,price,sqft,bedrooms,bathrooms
Los Angeles,CA,90003,515500,1810.0,0,NA
Los Angeles,CA,90003,510000,1999.0,0,NA
Los Angeles,CA,90003,429900,1315.0,3.0,2.0
Los Angeles,CA,90003,600000,2821.0,4.0,2.0
Los Angeles,CA,90003,585000,2737.0,3.0,2.0
Los Angeles,CA,90003,625000,2660.0,3.0,2.0
Los Angeles,CA,90003,460000,2080.0,0,NA
Los Angeles,CA,90003,399900,1372.0,0,NA
Los Angeles,CA,90003,419900,1382.0,0,NA
Los Angeles,CA,90003,194750,1612.0,4.0,2.0
Los Angeles,CA,90003,170000,946.0,2.0,1.0
Los Angeles,CA,90003,169500,320.0,1.0,1.0
LOS ANGELES,CA,90003,135000,NA,0,NA
Los Angeles,CA,90003,380000,1466.0,4.0,2.0
Los Angeles,CA,90003,563000,2874.0,4.0,2.0
Los Angeles,CA,90003,662000,3648.0,5.0,5.0
Los Angeles,CA,90003,45000,NA,NA,NA
Los Angeles,CA,90003,428000,1952.0,7.0,2.0
Los Angeles,CA,90003,279000,561.0,2.0,1.0
Los Angeles,CA,90003,314995,828.0,2.0,1.0
Los Angeles,CA,90003,290000,1025.0,2.0,1.0
Los Angeles,CA,90003,390000,1880.0,4.0,3.0
Los Angeles,CA,90003,375000,1266.0,3.0,3.0
Los Angeles,CA,90003,483000,2285.0,6.0,3.0
Los Angeles,CA,90003,316000,1080.0,4.0,1.0
Los Angeles,CA,90003,320000,896.0,2.0,1.0
Los Angeles,CA,90003,45000,NA,NA,NA
LOS ANGELES,CA,90003,369000,1344.0,3.0,NA
Los Angeles,CA,90003,376000,1420.0,3.0,2.0
Los Angeles,CA,90003,350000,1441.0,2.0,2.0
Los Angeles,CA,90003,329000,1179.0,2.0,1.0
Los Angeles,CA,90003,409988,1066.0,0,NA
Los Angeles,CA,90003,320000,964.0,2.0,1.0
Los Angeles,CA,90003,349900,1474.0,3.0,3.0
Los Angeles,CA,90003,325000,896.0,2.0,1.0
Los Angeles,CA,90003,45000,NA,NA,NA
Los Angeles,CA,90003,397000,1212.0,4.0,3.0
Los Angeles,CA,90003,555000,2848.0,8.0,4.0
Los Angeles,CA,90003,365000,1608.0,2.0,1.0
Los Angeles,CA,90003,415000,1489.0,4.0,2.0
Los Angeles,CA,90003,494900,1488.0,0,NA
Los Angeles,CA,90003,420000,1398.0,4.0,4.0
Los Angeles,CA,90003,535000,2332.0,6.0,4.0
Los Angeles,CA,90003,340000,1196.0,3.0,1.0
Los Angeles,CA,90003,425000,1188.0,3.0,2.0
Los Angeles,CA,90003,529000,3108.0,0,NA
Los Angeles,CA,90003,420000,1324.0,4.0,2.0
Los Angeles,CA,90003,465000,1395.0,4.0,2.0
Los Angeles,CA,90003,499000,NA,NA,NA
Los Angeles,CA,90003,625000,2690.0,8.0,4.0
Los Angeles,CA,90003,385000,1172.0,3.0,2.0
Los Angeles,CA,90003,430000,1323.0,4.0,2.0
Los Angeles,CA,90003,419900,1454.0,0,NA
Los Angeles,CA,90003,1500000,8864.0,0,NA
Los Angeles,CA,90003,635000,2388.0,0,NA
Los Angeles,CA,90003,489900,1529.0,0,NA
Los Angeles,CA,90003,425000,1507.0,0,NA
LOS ANGELES,CA,90003,580000,5440.0,NA,NA
