price,sqft,bedrooms,bathrooms
695000.0,3009.0,7.0,4.0
875000.0,2328.0,5.0,4.0
589000.0,2020.0,4.0,4.0
725000.0,2250.0,4.0,4.0
500000.0,1040.0,0.0,1.0
608000.0,870.0,1.0,1.0
639000.0,1042.0,2.0,2.0
359000.0,800.0,1.0,1.0
1050000.0,1234.0,2.0,2.0
435000.0,837.0,1.0,1.0
475000.0,1403.0,3.0,2.0
485000.0,970.0,2.0,2.0
539900.0,792.0,1.0,1.0
689000.0,1234.0,2.0,2.0
450000.0,1200.0,3.0,2.0
695000.0,1066.0,2.0,1.0
450000.0,770.0,0.0,1.0
517000.0,908.0,1.0,1.0
345000.0,690.0,1.0,1.0
789000.0,1623.0,2.0,2.0
595000.0,1040.0,0.0,1.0
459000.0,970.0,2.0,2.0
569000.0,908.0,2.0,1.0
649000.0,900.0,2.0,1.0
488000.0,735.0,1.0,1.0
599900.0,1348.0,2.0,2.0
485000.0,1060.0,2.0,2.0
1175000.0,1712.0,2.0,2.0
619900.0,1042.0,2.0,2.0
519000.0,735.0,1.0,1.0
799000.0,1186.0,2.0,2.0
629000.0,1509.0,2.0,3.0
829000.0,1589.0,3.0,3.0
488000.0,762.0,1.0,1.0
1100000.0,1213.0,3.0,2.0
670000.0,1042.0,2.0,2.0
649000.0,1323.0,2.0,2.0
1850000.0,3578.0,0.0,1.5
999900.0,1213.0,3.0,2.0
759000.0,1240.0,2.0,2.0
550000.0,970.0,2.0,1.0
1025000.0,1310.0,1.0,1.0
675000.0,980.0,2.0,2.0
559000.0,890.0,0.0,1.0
815000.0,1240.0,2.0,2.0
412000.0,860.0,1.0,1.0
1640000.0,2330.0,2.0,2.0
400000.0,720.0,0.0,1.0
999000.0,1740.0,1.0,2.0
1189000.0,1440.0,2.0,2.0
789000.0,1240.0,2.0,2.0
822000.0,1290.0,2.0,2.0
1250000.0,1730.0,2.0,2.0
999000.0,1500.0,1.0,1.0
3880000.0,3320.0,2.0,2.75
654000.0,910.0,2.0,1.0
500000.0,1040.0,0.0,1.0
559000.0,750.0,1.0,1.0
530000.0,750.0,1.0,1.0
608000.0,870.0,1.0,1.0
2150000.0,1900.0,1.0,3.0
1250000.0,1120.0,1.0,2.0
1250000.0,1120.0,1.0,2.0
579000.0,790.0,1.0,1.0
1125000.0,1020.0,1.0,2.0
339000.0,650.0,1.0,1.0
2600000.0,2268.0,2.0,2.0
645000.0,908.0,1.0,1.0
749000.0,705.0,1.0,1.0
625000.0,910.0,1.0,1.0
1035000.0,1144.0,2.0,2.0
1159158.0,1073.0,2.0,2.0
830000.0,895.0,1.0,1.0
579000.0,760.0,1.0,1.0
1169000.0,1084.0,2.0,2.0
510000.0,754.0,1.0,1.0
1949000.0,1760.0,2.0,3.0
1995000.0,1760.0,2.0,3.0
859000.0,1748.0,1.0,2.0
1431000.0,1356.0,2.0,2.0
2600000.0,2268.0,2.0,3.0
815000.0,895.0,1.0,1.0
1431000.0,1360.0,2.0,2.0
539000.0,754.0,1.0,1.0
1500000.0,1329.0,2.0,2.0
700000.0,1193.0,2.0,2.0
1777000.0,1680.0,2.0,3.0
485000.0,754.0,1.0,1.0
680000.0,1320.0,2.0,2.0
875000.0,1556.0,2.0,2.0
750000.0,1020.0,2.0,2.0
459500.0,650.0,1.0,1.0
449000.0,926.0,1.0,1.0
620000.0,760.0,1.0,1.0
545000.0,754.0,1.0,1.0
620000.0,880.0,1.0,1.0
1472000.0,1356.0,2.0,2.0
2850000.0,2273.0,2.0,3.0
665000.0,1200.0,1.0,2.0
875000.0,1218.0,3.0,1.0
1090000.0,4460.0,4.0,5.0
1875000.0,1730.0,2.0,3.0
534000.0,800.0,1.0,1.0
599000.0,1100.0,1.0,1.0
749000.0,705.0,1.0,1.0
525000.0,754.0,1.0,1.0
1500000.0,1500.0,2.0,2.0
483000.0,650.0,1.0,1.0
659000.0,900.0,1.0,1.0
847000.0,1474.0,2.0,2.0
2600000.0,2268.0,2.0,3.0
4752000.0,3960.0,3.0,4.0
7900000.0,4170.0,3.0,4.0
474000.0,660.0,1.0,1.0
1290000.0,3542.0,6.0,2.0
1350000.0,2070.0,2.0,2.0
640000.0,886.0,1.0,1.0
1315000.0,1200.0,1.0,2.0
1389000.0,1240.0,1.0,2.0
1699000.0,2647.0,2.0,3.0
1950000.0,1700.0,2.0,3.0
1899000.0,1718.0,2.0,3.0
675000.0,1120.0,1.0,1.0
1850000.0,1920.0,2.0,3.0
1400000.0,1220.0,1.0,2.0
649900.0,860.0,1.0,1.0
1298000.0,1160.0,1.0,2.0
689000.0,840.0,1.0,1.0
6800000.0,4299.0,3.0,3.5
749900.0,1200.0,1.0,2.0
1185000.0,1100.0,1.0,2.0
1395000.0,1280.0,1.0,2.0
1099000.0,1159.0,2.0,2.0
599999.0,800.0,3.0,1.0
595000.0,1134.0,3.0,1.0
1395000.0,2988.0,5.0,5.0
727000.0,1421.0,3.0,2.0
